placeID,parking_lot
135111,public
135110,NA
135109,NA
135108,NA
135107,NA
135106,NA
135105,NA
135104,yes
135103,valet parking
135102,valet parking
135101,public
135100,NA
135099,valet parking
135098,valet parking
135097,yes
135094,public
135093,yes
135092,NA
135091,fee
135090,public
135089,yes
135088,public
135086,yes
135085,public
135084,yes
135082,NA
135081,NA
135080,NA
135079,NA
135078,yes
135077,yes
135076,yes
135075,yes
135074,public
135073,yes
135072,NA
135071,yes
135070,yes
135069,yes
135068,yes
135067,NA
135066,yes
135065,NA
135064,yes
135063,NA
135062,yes
135061,yes
135060,NA
135059,yes
135058,public
135057,yes
135056,NA
135055,yes
135054,yes
135053,yes
135052,NA
135051,NA
135050,yes
135049,NA
135048,yes
135047,yes
135046,yes
135045,yes
135044,NA
135043,NA
135042,NA
135041,NA
135040,yes
135039,yes
135038,NA
135037,yes
135036,yes
135035,yes
135034,NA
135033,NA
135032,public
135031,yes
135030,NA
135029,NA
135028,NA
135027,NA
135026,NA
135025,NA
135024,yes
135023,NA
135022,NA
135021,public
135020,yes
135019,NA
135018,yes
135017,NA
135016,NA
135015,NA
135014,NA
135013,NA
135012,NA
135011,NA
135010,NA
135009,NA
135008,yes
135007,NA
135006,yes
135005,NA
135004,NA
135003,yes
135002,NA
135001,yes
135000,NA
134999,NA
134998,yes
134997,NA
134996,yes
134995,NA
134994,NA
134993,NA
134992,yes
134991,yes
134990,yes
134989,yes
134988,valet parking
134987,NA
134986,yes
134985,yes
134984,yes
134983,yes
134982,NA
134981,NA
134980,NA
134979,NA
134978,yes
134977,yes
134976,yes
134975,valet parking
134974,yes
134973,NA
134972,NA
134971,yes
134970,yes
133049,yes
133048,yes
133047,yes
133043,yes
133042,NA
133041,NA
133040,NA
133039,NA
133038,NA
133037,NA
133036,NA
133035,public
133034,NA
133033,NA
133032,NA
133031,NA
133030,NA
133029,yes
133028,NA
133027,NA
133026,NA
133025,NA
133024,NA
133023,NA
133022,NA
133021,NA
133020,NA
133019,NA
133018,NA
133017,NA
133016,NA
133015,NA
133014,public
133013,NA
133012,NA
133011,NA
133010,yes
133009,yes
133008,yes
133007,NA
133006,NA
133005,NA
133004,NA
133003,NA
133002,NA
133001,NA
133000,NA
132999,NA
132998,NA
132997,public
132996,NA
132995,NA
132994,NA
132993,NA
132992,NA
132986,NA
132985,NA
132984,NA
132983,NA
132982,NA
132981,NA
132980,NA
132979,NA
132978,NA
132977,NA
132976,NA
132975,NA
132974,NA
132973,NA
132972,NA
132971,NA
132970,NA
132969,public
132968,yes
132967,public
132966,public
132965,public
132964,NA
132963,NA
132962,NA
132961,NA
132960,yes
132959,NA
132958,NA
132957,NA
132956,NA
132955,NA
132954,yes
132953,yes
132951,yes
132950,NA
132948,NA
132947,NA
132946,public
132945,NA
132944,NA
132943,public
132942,NA
132941,NA
132940,NA
132939,NA
132938,NA
132937,NA
132936,NA
132935,NA
132934,NA
132933,NA
132932,public
132931,NA
132930,NA
132929,public
132928,NA
132927,NA
132926,NA
132925,NA
132924,NA
132923,NA
132922,NA
132921,NA
132920,NA
132919,NA
132918,NA
132917,NA
132916,NA
132915,NA
132914,NA
132913,NA
132912,NA
132911,NA
132910,NA
132909,public
132908,NA
132907,NA
132906,NA
132905,NA
132904,NA
132903,NA
132902,NA
132901,NA
132900,public
132899,NA
132898,NA
132897,NA
132896,NA
132895,NA
132894,NA
132893,NA
132892,yes
132891,NA
132890,NA
132889,NA
132888,yes
132887,valet parking
132886,NA
132885,public
132884,NA
132883,NA
132882,NA
132881,NA
132880,yes
132879,NA
132878,NA
132877,NA
132876,NA
132875,valet parking
132874,NA
132873,NA
132872,public
132871,public
132870,NA
132869,yes
132868,public
132867,yes
132866,yes
132865,yes
132864,public
132863,yes
132862,valet parking
132861,yes
132860,yes
132859,yes
132858,NA
132857,NA
132856,NA
132855,NA
132854,yes
132853,NA
132852,public
132851,yes
132850,yes
132849,NA
132848,NA
132847,NA
132846,NA
132845,NA
132844,NA
132843,public
132842,NA
132841,NA
132840,NA
132839,NA
132838,NA
132837,NA
132836,NA
132835,yes
132834,public
132833,NA
132832,NA
132831,NA
132830,NA
132829,NA
132828,yes
132827,NA
132826,public
132825,NA
132824,yes
132823,NA
132822,NA
132821,yes
132820,fee
132819,yes
132818,fee
132817,fee
132816,NA
132815,yes
132813,NA
132812,NA
132811,yes
132810,NA
132809,NA
132808,public
132807,yes
132806,yes
132805,yes
132804,yes
132803,NA
132802,NA
132801,yes
132799,fee
132798,fee
132797,yes
132796,yes
132795,NA
132794,NA
132793,valet parking
132792,valet parking
132791,valet parking
132790,valet parking
132789,valet parking
132788,yes
132787,yes
132786,valet parking
132785,public
132784,valet parking
132783,valet parking
132782,yes
132781,public
132780,public
132779,public
132778,NA
132777,public
132776,NA
132775,NA
132774,yes
132773,NA
132772,public
132771,yes
132770,yes
132769,NA
132768,NA
132767,yes
132766,yes
132765,NA
132764,public
132763,public
132762,NA
132761,public
132760,NA
132759,NA
132758,NA
132757,NA
132756,fee
132755,public
132754,NA
132753,public
132752,NA
132751,yes
132750,yes
132749,NA
132748,NA
132747,yes
132746,public
132745,yes
132744,NA
132743,NA
132742,NA
132741,public
132740,NA
132739,public
132738,public
132737,public
132736,yes
132735,public
132734,NA
132733,yes
132732,NA
132731,NA
132730,NA
132729,NA
132728,yes
132727,yes
132726,yes
132725,NA
132724,yes
132723,public
132722,public
132721,NA
132720,NA
132719,NA
132718,NA
132717,public
132716,NA
132715,NA
132714,NA
132713,NA
132712,public
132711,public
132710,public
132709,public
132708,NA
132707,public
132706,public
132705,public
132704,public
132703,NA
132702,public
132701,public
132700,yes
132699,yes
132698,public
132697,yes
132696,public
132695,yes
132694,NA
132693,yes
132692,yes
132691,yes
132690,NA
132689,yes
132688,NA
132687,yes
132686,yes
132685,yes
132684,yes
132683,yes
132682,yes
132681,public
132680,public
132679,NA
132678,NA
132677,NA
132676,NA
132675,NA
132674,NA
132673,NA
132672,NA
132671,NA
132670,NA
132669,NA
132668,NA
132667,NA
132666,NA
132665,NA
132664,NA
132663,NA
132662,NA
132661,NA
132660,NA
132659,NA
132658,yes
132657,NA
132656,NA
132655,yes
132654,NA
132653,yes
132652,NA
132651,NA
132650,yes
132649,NA
132648,NA
132647,NA
132646,NA
132645,yes
132644,NA
132643,NA
132642,NA
132641,NA
132640,yes
132639,NA
132638,yes
132637,NA
132636,yes
132635,valet parking
132634,NA
132633,NA
132632,NA
132631,NA
